service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
50051079222-20180702170310_v67.28,20180708,20180825,0,0,0,0,1,0,0
1154102383-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
476138478-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
50051134253-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,0,1
2372143647-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,1
440138368-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,1,0
448139736-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
14392142788-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
2369142352-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
2325120684-20180702170310_v67.28,20180708,20180825,1,1,1,1,1,0,0
452140126-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
1148103217-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
431135574-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
455135694-20180725154052_v68.11,20180826,20181130,1,1,1,1,1,0,0
2393121978-20180702170310_v67.28,20180708,20180825,0,0,0,0,0,1,1
471140698-20180725154052_v68.11,20180826,20181130,0,0,0,0,0,1,1
