service_id,date,exception_type
4966087814-20180725154052_v68.11,20181022,2
12839116461-20180725154052_v68.11,20181022,2
477135413-20180725154052_v68.11,20181022,2
1141102773-20180725154052_v68.11,20181022,2
1060084820-20180725154052_v68.11,20181022,2
453135105-20180725154052_v68.11,20181022,2
18234114160-20180725154052_v68.11,20181011,2
18234114160-20180725154052_v68.11,20181010,2
18234114160-20180725154052_v68.11,20181012,2
18234114160-20180725154052_v68.11,20181008,2
18234114160-20180725154052_v68.11,20181009,2
18234114160-20180725154052_v68.11,20181004,2
18234114160-20180725154052_v68.11,20181005,2
18234114160-20180725154052_v68.11,20181002,2
18234114160-20180725154052_v68.11,20181003,2
18234114160-20180725154052_v68.11,20181001,2
18234114160-20180725154052_v68.11,20181022,2
50051145284-20180725154052_v68.11,20181022,1
467135277-20180725154052_v68.11,20181022,2
3945085127-20180725154052_v68.11,20181022,2
2391143503-20180725154052_v68.11,20181022,1
449137593-20180725154052_v68.11,20181022,2
7005018563-20180725154052_v68.11,20181022,2
454135143-20180725154052_v68.11,20181022,2
3100088102-20180725154052_v68.11,20181022,2
51100083452-20180702170310_v67.28,20180714,1
441137953-20180725154052_v68.11,20181022,2
23100144472-20180725154052_v68.11,20181022,2
14392143606-20180725154052_v68.11,20181022,1
1983053902-20180725154052_v68.11,20181022,2
475137558-20180725154052_v68.11,20181022,2
439140360-20180725154052_v68.11,20181022,1
23500145423-20180725154052_v68.11,20181022,1
1063133925-20180725154052_v68.11,20181022,2
1080130296-20180725154052_v68.11,20181022,2
3100089273-20180725154052_v68.11,20181022,2
1141103412-20180725154052_v68.11,20181022,1
1060088924-20180725154052_v68.11,20181022,2
465140925-20180725154052_v68.11,20181022,1
2393143272-20180725154052_v68.11,20181022,2
12870116107-20180725154052_v68.11,20181022,2
1982101542-20180725154052_v68.11,20181022,1
4976084930-20180725154052_v68.11,20181022,2
4955094735-20180725154052_v68.11,20181022,2
1060088643-20180725154052_v68.11,20181022,2
1098125405-20180725154052_v68.11,20181022,1
21229083213-20180702170310_v67.28,20180720,2
21229083213-20180702170310_v67.28,20180709,2
21229083213-20180702170310_v67.28,20180719,2
21229083213-20180702170310_v67.28,20180718,2
21229083213-20180702170310_v67.28,20180711,2
21229083213-20180702170310_v67.28,20180710,2
21229083213-20180702170310_v67.28,20180713,2
21229083213-20180702170310_v67.28,20180712,2
21229083213-20180702170310_v67.28,20180717,2
21229083213-20180702170310_v67.28,20180716,2
1141103292-20180725154052_v68.11,20181022,1
1140122272-20180725154052_v68.11,20181022,1
1141102975-20180725154052_v68.11,20181022,1
3803086412-20180725154052_v68.11,20181022,2
23100145183-20180725154052_v68.11,20181022,1
456135711-20180725154052_v68.11,20181022,2
18059099343-20180725154052_v68.11,20181011,2
18059099343-20180725154052_v68.11,20181010,2
18059099343-20180725154052_v68.11,20181012,2
18059099343-20180725154052_v68.11,20181008,2
18059099343-20180725154052_v68.11,20181009,2
18059099343-20180725154052_v68.11,20181004,2
18059099343-20180725154052_v68.11,20181005,2
18059099343-20180725154052_v68.11,20181002,2
18059099343-20180725154052_v68.11,20181003,2
18059099343-20180725154052_v68.11,20181001,2
18059099343-20180725154052_v68.11,20181022,2
1085125757-20180725154052_v68.11,20181022,1
18229099418-20180725154052_v68.11,20181011,2
18229099418-20180725154052_v68.11,20181010,2
18229099418-20180725154052_v68.11,20181012,2
18229099418-20180725154052_v68.11,20181008,2
18229099418-20180725154052_v68.11,20181009,2
18229099418-20180725154052_v68.11,20181004,2
18229099418-20180725154052_v68.11,20181005,2
18229099418-20180725154052_v68.11,20181002,2
18229099418-20180725154052_v68.11,20181003,2
18229099418-20180725154052_v68.11,20181001,2
18229099418-20180725154052_v68.11,20181022,2
21067099406-20180725154052_v68.11,20181011,2
21067099406-20180725154052_v68.11,20181010,2
21067099406-20180725154052_v68.11,20181012,2
21067099406-20180725154052_v68.11,20181008,2
21067099406-20180725154052_v68.11,20181009,2
21067099406-20180725154052_v68.11,20181004,2
21067099406-20180725154052_v68.11,20181005,2
21067099406-20180725154052_v68.11,20181002,2
21067099406-20180725154052_v68.11,20181003,2
21067099406-20180725154052_v68.11,20181001,2
21067099406-20180725154052_v68.11,20181022,2
1154102383-20180725154052_v68.11,20181022,2
476138478-20180725154052_v68.11,20181022,2
2372143647-20180725154052_v68.11,20181022,1
