stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type,stop_code
-36.83699,merged_29,174.62626,5586-20180702170310_v67.28,21030-20180702170310_v67.28,,38 Colwill Rd,0,5586
-36.76975,merged_30,174.69939,41458-20180725154052_v68.11,,,Upper Harbour Dr and Viridian,1,41458
-36.92172,merged_30,174.76991,11738-20180725154052_v68.11,,,Beachcroft Ave/Arthur St,1,11738
-36.92225,merged_30,174.70388,11348-20180725154052_v68.11,,,Donovan St/Iona Presbyterian Church,1,11348
-36.59293,merged_30,174.69485,41698-20180725154052_v68.11,,,Centreway Rd and Weiti,1,41698
-36.89273,merged_29,174.76565,11563-20180702170310_v67.28,,,St Andrews Rd/Morvern Reserve,1,11563
-37.0097,merged_30,174.86064,2242-20180725154052_v68.11,51650-20180725154052_v68.11,,Opp 7 Langley Rd,0,2242
-36.77738,merged_29,174.65885,5692-20180702170310_v67.28,21849-20180702170310_v67.28,,Opp 73 The Tce,0,5692
-36.88697,merged_30,174.84032,1046-20180725154052_v68.11,31860-20180725154052_v68.11,,Opp 45 Bluegrey Ave,0,1046
-36.90923,merged_29,174.75394,8840-20180702170310_v67.28,11770-20180702170310_v67.28,,522 Mt Albert Rd,0,8840
-36.98454,merged_29,174.90027,31813-20180702170310_v67.28,,,Aspiring Ave/Boundary Rd,1,31813
-36.83192,merged_29,174.61712,21040-20180702170310_v67.28,,,Royal Rd/Royal Rd School,1,21040
-36.91403,merged_30,174.87907,1968-20180725154052_v68.11,32020-20180725154052_v68.11,,34 Reeves Rd,0,1968
-36.70129,merged_30,174.73833,3027-20180725154052_v68.11,41600-20180725154052_v68.11,,3 Geoffrey Rd,0,3027
-36.74217,merged_29,174.70097,41486-20180702170310_v67.28,,,Rosedale Rd and Airborne,1,41486
-36.97824,merged_30,174.87189,6021-20180725154052_v68.11,51319-20180725154052_v68.11,,481 Great South Rd Manukau,0,6021
-36.85739,merged_29,174.64279,21184-20180702170310_v67.28,,,Flanshaw Rd/Sherwood Ave,1,21184
-36.79771,merged_30,174.75627,4054-20180725154052_v68.11,41131-20180725154052_v68.11,,Akoranga Dr AUT Campus,0,4054
-36.86131,merged_29,174.85862,11869-20180702170310_v67.28,,,St Heliers Bay Rd/EastMed Medical Centre,1,11869
-36.8131,merged_30,174.63246,21518-20180725154052_v68.11,,,Hobsonville Rd/Westpark Drive,1,21518
-36.88875,merged_30,174.71086,11245-20180725154052_v68.11,,,New North Rd/Hebron Christian College,1,11245
-37.08304,merged_30,174.90833,2549-20180725154052_v68.11,51539-20180725154052_v68.11,,Hingaia Rd opp Towai Rd,0,2549
-36.60535,merged_29,174.68071,49612-20180702170310_v67.28,,,Kingsway School Bus Bay,1,49612
-36.88392,merged_29,174.84734,1891-20180702170310_v67.28,11868-20180702170310_v67.28,,Morrin Rd near Stonefields Ave,0,1891
-36.73924,merged_30,174.70397,41489-20180725154052_v68.11,,,Bush Rd and Carolina,1,41489
-36.85964,merged_30,174.8685,7382-20180725154052_v68.11,31090-20180725154052_v68.11,,6 Rochdale Ave,0,7382
-36.79731,merged_30,174.72912,41265-20180725154052_v68.11,,,Monarch Ave and Betsland,1,41265
-36.88562,merged_29,174.68002,8564-20180702170310_v67.28,11164-20180702170310_v67.28,,Opp 49 Mead St,0,8564
-36.90521,merged_30,174.6108,21239-20180725154052_v68.11,,,Forest Hill Rd and Holdens,1,21239
-36.88574,merged_30,174.64484,5111-20180725154052_v68.11,21214-20180725154052_v68.11,,9 Te Atatu Rd,0,5111
